objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"CO₂: Second Chance","214887","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","57773416","6.73677","7.60966","4.0828","699","6046","thing","CO₂: Second Chance","1","4","120","120","60","2018","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: Mission Deep Sea","324856","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","89214630","7.546","8.41657","2.0286","92","10717","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Crew: The Quest for Planet Nine","284083","10","53","0","1","0","0","0","0","0","0","0","3","","","","","","69148203","7.77042","7.95185","1.9814","45","53974","thing","The Crew: The Quest for Planet Nine","2","5","20","20","20","2019","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Crossroll Hong Kong","280856","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84051511","5.53814","7.42225","2","11784","118","thing","Crossroll Hong Kong","1","4","40","40","20","2019","2,4","","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Crown of Emara","256570","0","4","0","1","0","0","0","0","0","0","0","4","","","","","","55532821","6.71938","7.45792","3.1008","729","4654","thing","Crown of Emara","1","4","75","75","45","2018","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Cryptid","246784","10","72","0","1","0","0","0","0","0","0","0","3","","Amazing and compelling at all player counts, even at two for which it should be officially supported.","","","","57951832","7.17002","7.49682","2.2308","274","13382","thing","Cryptid","3","5","50","50","30","2018","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Crystal Palace","280480","10","4","0","1","0","0","0","0","0","0","0","4","","A heavy euro with an amazing rulebook. There's usually a lot of flipping pages in the first few plays, but we never looked at it for our second play. Smooth gameplay. We were concerned that there was too much take that involved based on things we'd heard, but that hasn't been our experience. You really want to know what other people are most likely to be interested in more to take advantage of other things that are more beneficial to you but at a discount. Also, it's so pretty.","","","","65703763","6.72188","7.58208","3.7987","725","4223","thing","Crystal Palace","2","5","150","150","90","2019","2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dadaocheng","176963","0","1","0","1","0","0","0","0","0","0","0","4","super rare","","","","","40420469","5.62703","6.74113","2.6","6568","264","thing","Dadaocheng","1","4","45","45","45","2015","3,4","","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Deep Sea Adventure","169654","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","60494510","6.74637","6.95545","1.1688","690","20043","thing","Deep Sea Adventure","2","6","30","30","30","2014","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Detective: A Modern Crime Board Game","223321","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84051603","7.32571","7.79822","2.7351","184","18723","thing","Detective: A Modern Crime Board Game","1","5","180","180","120","2018","1,2,3,4","2","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Deus","162082","0","5","0","1","0","0","0","0","0","0","0","2","","","","","","38928598","6.97077","7.30071","2.8554","430","9266","thing","Deus","2","4","90","90","60","2014","2,3,4","","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dice Miner","310632","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","89212215","5.93029","7.27541","1.7857","2932","1366","thing","Dice Miner","1","4","30","30","20","2021","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dinosaur Island: Rawr 'n Write","318009","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","91464039","6.35054","7.91147","2.8824","1375","3600","thing","Dinosaur Island: Rawr 'n Write","1","4","45","45","30","2021","1,2,3,4","2,3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit","39856","0","","0","1","0","0","0","0","0","0","0","3","","","","","","82210082","7.12903","7.23805","1.2109","306","78135","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Dixit: Odyssey","92828","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","60724650","7.22066","7.43845","1.1818","242","25820","thing","Dixit: Odyssey","3","12","30","30","30","2011","4,5,6,7,8,9,10,11,12","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","Memories, Journey, Daydreams, Harmonies","","","","","",""
"Dominations: Road to Civilization","250881","10","7","0","1","0","0","0","0","0","0","0","3","","","","","","68190369","6.17756","7.55677","3.5526","1873","1811","thing","Dominations: Road to Civilization","2","4","120","120","60","2019","2,3,4","","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion","36218","0","106","0","1","1","0","0","0","0","0","0","3","","","","","","32057015","7.49533","7.60757","2.3544","107","108231","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dominion: Intrigue","40834","0","","0","1","1","0","0","0","0","0","0","3","","","","","","32057017","7.54922","7.70649","2.4212","90","45629","thing","Dominion: Intrigue","2","6","30","30","30","2009","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Don't Get Got!","262547","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66338469","6.0623","7.1481","1.05","2288","2762","thing","Don't Get Got!","2","10","1440","1440","30","2018","4,5,6,7,8,9,10","7","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Dreamscape","231038","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","67142497","6.13949","7.52919","3.1356","1990","1741","thing","Dreamscape","1","4","90","90","60","2019","1,2,3","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Duelosaur Island","247236","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","56945542","6.52046","7.14284","2.339","1045","7390","thing","Duelosaur Island","1","2","45","45","30","2018","1,2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Dungeons, Dice & Danger","349463","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","91464033","5.59769","7.21236","2","7563","251","thing","Dungeons, Dice & Danger","1","4","60","60","45","2022","1,2,3,4","2","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Egizia: Shifting Sands","267271","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","67144888","6.24862","7.60227","2.75","1630","1950","thing","Egizia: Shifting Sands","2","4","90","90","90","2019","2,3,4","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Elysium","163968","0","2","0","1","1","0","0","0","0","0","0","3","Compare to Deus after playing...","","","","","38970815","6.93119","7.21984","2.7584","480","12818","thing","Elysium","2","4","60","60","60","2015","2,3,4","","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Eminent Domain","68425","0","2","0","1","0","0","0","0","0","0","0","3","Escalation expansion rqd?","","","","","38774286","6.77886","7.01584","2.5093","647","13059","thing","Eminent Domain","2","4","45","45","45","2011","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Eminent Domain: Microcosm","163640","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","51485555","5.92009","6.3774","1.96","3008","4160","thing","Eminent Domain: Microcosm","2","2","15","15","15","2014","2","2","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Enchanters: Overlords","252688","0","2","0","1","1","0","0","0","0","0","0","3","","","","","","69279446","5.91964","7.51043","1.9167","3011","1600","thing","Enchanters: Overlords","2","4","60","60","30","2018","2,3","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Escape Plan","142379","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","59899517","6.93807","7.5763","3.6842","472","7351","thing","Escape Plan","1","5","120","120","60","2019","1,2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Euphoria: Build a Better Dystopia","133848","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","32056678","6.94944","7.2338","3.1202","458","13410","thing","Euphoria: Build a Better Dystopia","2","6","60","60","60","2013","2,3,4,5,6","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Everdell","199792","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","77127128","7.88329","8.09449","2.8155","28","48105","thing","Everdell","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Expedition to Newdale","272682","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","73099730","6.3482","7.47638","3","1379","2675","thing","Expedition to Newdale","1","4","90","90","90","2019","1,2,3,4","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Explorers of the North Sea","176371","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","89215775","6.55017","7.31708","2.1222","984","5269","thing","Explorers of the North Sea","1","4","60","60","45","2016","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fairy Trails","288775","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89211315","5.70439","6.638","1.2308","5008","943","thing","Fairy Trails","1","2","20","20","15","2020","1,2","2","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Faiyum","318983","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89214249","6.3925","7.62735","3.1579","1280","2026","thing","Faiyum","1","5","140","140","110","2020","1,2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"A Fake Artist Goes to New York","135779","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","61651324","6.76502","7.16091","1.1456","667","10137","thing","A Fake Artist Goes to New York","5","10","20","20","20","2012","5,6,7,8,9,10","6,7","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fantastic Factories","216600","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","66126883","6.81148","7.51292","2.1591","603","6630","thing","Fantastic Factories","1","5","60","60","45","2019","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fantastiqa: The Rucksack Edition","125046","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","56284415","6.06695","6.94642","2.3896","2273","1986","thing","Fantastiqa: The Rucksack Edition","2","4","60","60","45","2012","2,3,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","FANTASTIQA: The Rucksack Edition $29.99
FANTASTIQA: Exp #1 - Treasure Hunt $9.99
FANTASTIQA: Exp #2 - Special Delivery $7.99
FANTASTIQA: Exp #3 - Event Deck $7.99
FANTASTIQA: Exp #4 - Curious Companions Expansion and Rarest Relics Expansion $8.99
FANTASTIQA: Exp #5 - Espresso Dragons Expansion, Wild Goose Chase Expansion and Exclusive Artifacts Expansion $11.99
FANTASTIQA: Exp #6 - The Abandoned Abbey $7.99
FANTASTIQA: Exp #7 - Fantastiqal Landscapes Expansion $13.99
FANTASTIQA: Exp #8 - 6 extra character sets $19.99","","","","","",""
"Fantasy Realms","223040","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","89211351","7.19167","7.56256","1.7371","260","14021","thing","Fantasy Realms","2","6","20","20","20","2017","2,3,4,5","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"A Feast for Odin","177736","10","29","0","1","0","0","0","0","0","0","0","3","","Gets better every play.","","","","38628045","7.9525","8.2037","3.85","22","28107","thing","A Feast for Odin","1","4","120","120","30","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Fertility","256320","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","56945505","6.22278","7.20844","1.9714","1719","2055","thing","Fertility","2","4","45","45","25","2018","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Feudum","163839","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","49286047","6.8034","7.66121","4.5866","613","5719","thing","Feudum","2","5","180","180","80","2017","2,3,4,5","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fields of Arle","159675","0","10","0","1","0","0","0","0","0","0","0","4","Similar to caverna but two player, maybe optimized for two","","","","","38711284","7.64795","8.07486","3.8697","68","14165","thing","Fields of Arle","1","2","120","120","60","2014","1,2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Finca","40628","0","4","0","1","0","0","0","0","0","0","0","2","possible reprint coming 2017-2018","","","","","40420479","6.73661","7.06164","2.0819","700","6647","thing","Finca","2","4","45","45","45","2009","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"First Contact","258309","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","67144044","6.0407","7.02881","2.125","2369","1594","thing","First Contact","2","7","40","40","15","2018","4,5,6,7","4,5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Five Tribes","157354","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","38710926","7.63404","7.78105","2.8534","74","46275","thing","Five Tribes","2","4","80","80","40","2014","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Fleet: The Dice Game","245961","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","56945416","6.80981","7.73962","2.5789","606","4594","thing","Fleet: The Dice Game","1","4","45","45","30","2018","1,2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Floor Plan","275469","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","89274230","5.79718","6.65867","2","3910","1732","thing","Floor Plan","1","100","40","40","20","2020","1,2,3,4,5,6","3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Foothills","270538","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","64230758","5.95277","7.08195","2.7826","2817","1781","thing","Foothills","2","2","45","45","30","2019","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"For Science!","280834","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89211871","5.68208","7.18627","2.125","5362","715","thing","For Science!","1","6","15","15","15","2021","1,2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Formosa Tea","287941","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","67286501","5.92288","7.50162","3.3704","2986","1040","thing","Formosa Tea","2","4","90","90","40","2019","2,3,4","4","10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Forum Trajanum","244049","0","3","0","1","0","0","0","0","0","0","0","4","Feld!","","","","","48728470","6.52857","7.28147","3.495","1032","4510","thing","Forum Trajanum","2","4","120","120","60","2018","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Four Gardens","296043","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89213161","5.98826","7.30085","2.4231","2626","1689","thing","Four Gardens","2","4","45","45","45","2020","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fox in the Forest Duet","288169","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","69279369","6.36777","7.12211","1.6809","1332","5251","thing","The Fox in the Forest Duet","2","2","30","30","30","2020","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Frutticola","234900","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84051552","5.65545","6.92481","2.7273","5846","511","thing","Frutticola","2","4","60","60","45","2021","2,3,4","","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fugitive","197443","0","8","0","1","0","0","0","0","0","0","0","3","","","","","","63709103","6.72104","7.20679","1.6709","728","8793","thing","Fugitive","2","2","20","20","5","2017","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Fuji","258308","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","59899489","6.01118","6.63276","2.2","2507","2763","thing","Fuji","2","4","45","45","30","2018","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Furnace","318084","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","89210218","6.85849","7.50498","2.2157","556","6601","thing","Furnace","2","4","60","60","30","2020","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Gaia Project","220308","10","15","0","1","0","0","0","0","0","0","0","4","2017 - 2-player friendly Terra Mystica","We really wanted to love Terra Mystica, but it just didn't work for us with two. Gaia Project fixes that and a bunch of other things we never realized were broken. Highly repayable with various strategies and lots of great decisions.","","","","43635918","8.1733","8.4666","4.37","7","25108","thing","Gaia Project","1","4","150","150","60","2017","1,2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Gallerist","125153","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","39755069","7.68542","8.05342","4.2621","58","15826","thing","The Gallerist","1","4","150","150","60","2015","1,2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ganymede","248005","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","59243316","6.19158","7.24133","2.3208","1820","2090","thing","Ganymede","2","4","40","40","20","2018","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gentes: Deluxified Edition","249703","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","60196712","6.54933","7.76454","3.2667","0","3606","thing","Gentes: Deluxified Edition","1","4","120","120","75","2018","1,2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ginkgopolis","128271","0","2","0","1","0","0","0","0","0","0","0","3","Low priority, oop","","","","","39875626","7.05836","7.50457","2.9171","366","6733","thing","Ginkgopolis","1","5","45","45","45","2012","1,2,3,4","2,3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Glass Road","143693","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","38734615","7.15172","7.45344","2.9743","285","12594","thing","Glass Road","1","4","80","80","20","2013","1,2,3,4","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Glen More II: Chronicles","265188","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","73099908","7.36142","7.98735","3.0583","167","9822","thing","Glen More II: Chronicles","2","4","120","120","90","2019","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven","174430","10","47","0","1","0","0","0","0","0","0","0","2","","","","","","39596676","8.50073","8.73382","3.8736","1","79678","thing","Gloomhaven","1","4","120","120","60","2017","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven: Jaws of the Lion","291457","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","73098501","8.26169","8.65508","3.5881","5","41954","thing","Gloomhaven: Jaws of the Lion","1","4","120","120","30","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Glory to Rome","19857","0","6","0","1","0","0","0","0","0","0","0","2","","","","","","39206003","7.2494","7.48688","2.9259","229","14648","thing","Glory to Rome","2","5","60","60","60","2005","2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Glow","275044","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","91901705","6.07826","7.24706","2.0303","2226","2082","thing","Glow","2","4","45","45","45","2021","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gold West","154086","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","39426641","6.62745","7.34081","2.4578","861","3238","thing","Gold West","2","4","60","60","45","2015","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Grand Austria Hotel","182874","0","13","0","1","0","0","0","0","0","0","0","3","similar to Kingsburg?","","","","","38749325","7.60464","7.88136","3.2251","80","18029","thing","Grand Austria Hotel","2","4","120","120","60","2015","2,3","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"La Granja","146886","0","6","0","1","0","0","0","0","0","0","0","2","","","","","","38711048","7.31075","7.64962","3.5779","193","11906","thing","La Granja","1","4","120","120","90","2014","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"La Granja: No Siesta","195528","0","2","0","1","0","0","0","0","0","0","0","4","","","","","","38711060","6.24147","6.80079","2.1944","1657","3510","thing","La Granja: No Siesta","1","4","45","45","30","2016","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Great Western Trail","193738","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","40142939","8.12052","8.29012","3.7072","12","40427","thing","Great Western Trail","2","4","150","150","75","2016","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Great Zimbabwe","111341","0","","0","1","0","0","0","0","0","0","0","3","","","","","","40379068","7.06022","7.80713","3.7018","362","4646","thing","The Great Zimbabwe","2","5","150","150","90","2012","2,3,4,5","4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Gùgōng","250458","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","51797142","7.08874","7.49751","3.0957","332","10366","thing","Gùgōng","1","5","90","90","60","2018","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hadara","269144","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","63708180","6.9386","7.46618","2.197","469","6073","thing","Hadara","2","5","60","60","45","2019","2,3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hadrian's Wall","304783","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","84051518","7.00476","8.1442","3.1154","405","5342","thing","Hadrian's Wall","1","6","60","60","30","2021","1,2,3,4","1","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hallertau","300322","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","79307997","7.13175","8.05702","3.289","304","5959","thing","Hallertau","1","4","140","140","50","2020","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanabi","98778","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","51849916","6.96921","7.06801","1.6936","433","69814","thing","Hanabi","2","5","25","25","25","2010","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Handsome","274028","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","61496592","5.60872","6.83538","1","7147","633","thing","Handsome","2","6","20","20","20","2019","2,3,4,5,6","","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Hardback","223750","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","51220670","6.55875","7.23168","2.1346","974","5741","thing","Hardback","1","5","90","90","45","2018","1,2,3,4,5","","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Haspelknecht: The Story of Early Coal Mining","169794","0","2","0","1","0","0","0","0","0","0","0","4","","","","","","39735328","6.38644","7.25152","3.051","1294","3185","thing","Haspelknecht: The Story of Early Coal Mining","2","4","90","90","60","2015","2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hats","281658","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","89212932","5.88066","6.9043","2.0556","3232","1173","thing","Hats","2","4","30","30","20","2019","2,3,4","2,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Le Havre","35677","0","4","0","1","0","0","0","0","0","0","0","1","","","","","","38670062","7.71087","7.86661","3.7334","55","32676","thing","Le Havre","1","5","150","150","30","2008","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Heaven & Ale","227789","0","5","0","1","0","0","0","0","0","0","0","4","2017 - Kiesling!","","","","","44015920","7.15115","7.56805","3.239","286","9962","thing","Heaven & Ale","2","4","90","90","60","2017","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Honey Buzz","284742","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","84050358","6.75971","7.81928","2.7284","675","4647","thing","Honey Buzz","1","4","90","90","45","2020","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Humboldt's Great Voyage","243704","8.5","2","0","1","0","0","0","0","0","0","0","4","","","","","","56362160","5.55655","6.1232","1.8333","9905","291","thing","Humboldt's Great Voyage","2","4","60","60","30","2019","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperial Settlers: Roll & Write","270836","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","62336557","5.93385","6.38572","1.8","2913","3663","thing","Imperial Settlers: Roll & Write","1","4","30","30","30","2019","1,2","1","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperium: Classics","318184","10","6","0","1","0","0","0","0","0","0","0","3","","","","","","84014098","6.78701","7.84161","3.5109","634","5420","thing","Imperium: Classics","1","4","120","120","60","2021","1,2","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperium: Legends","318182","10","3","0","1","0","0","0","0","0","0","0","3","","","","","","84051478","6.5115","7.99588","3.6731","1057","4188","thing","Imperium: Legends","1","4","120","120","60","2021","1,2","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
